# dT = 0.00250000
# Vi = 1.00000000
# Xi = 0.00000000
# tot_Step =   80001
# print_skip =      80
# method = Predictor-Corrector
#                   t                  vel                  pos                    E
 40.80000000   0.58830452  -0.80862327   0.49998690
 41.00000000   0.00066208  -0.99999198   0.49999220
 41.20000000  -0.58723321  -0.80940154   0.49998684
 41.40000000  -0.95082756  -0.30965032   0.49997818
 41.60000000  -0.95124169   0.30837558   0.49997813
 41.80000000  -0.58831746   0.80861362   0.49998671
 42.00000000  -0.00067822   0.99999178   0.49999201
 42.20000000   0.58722002   0.80941087   0.49998665
 42.40000000   0.95082238   0.30966561   0.49997799
 42.60000000   0.95124649  -0.30836016   0.49997794
 42.80000000   0.58833041  -0.80860396   0.49998652
 43.00000000   0.00069437  -0.99999158   0.49999182
 43.20000000  -0.58720684  -0.80942019   0.49998646
 43.40000000  -0.95081719  -0.30968091   0.49997780
 43.60000000  -0.95125129   0.30834474   0.49997775
 43.80000000  -0.58834335   0.80859431   0.49998633
 44.00000000  -0.00071052   0.99999138   0.49999163
 44.20000000   0.58719366   0.80942952   0.49998627
 44.40000000   0.95081201   0.30969620   0.49997761
 44.60000000   0.95125609  -0.30832932   0.49997756
 44.80000000   0.58835630  -0.80858465   0.49998614
 45.00000000   0.00072667  -0.99999117   0.49999144
 45.20000000  -0.58718048  -0.80943885   0.49998608
 45.40000000  -0.95080683  -0.30971150   0.49997742
 45.60000000  -0.95126089   0.30831390   0.49997737
 45.80000000  -0.58836924   0.80857500   0.49998595
 46.00000000  -0.00074282   0.99999097   0.49999125
 46.20000000   0.58716729   0.80944818   0.49998589
 46.40000000   0.95080165   0.30972679   0.49997723
 46.60000000   0.95126569  -0.30829848   0.49997718
 46.80000000   0.58838219  -0.80856534   0.49998576
 47.00000000   0.00075896  -0.99999077   0.49999106
 47.20000000  -0.58715411  -0.80945751   0.49998570
 47.40000000  -0.95079647  -0.30974209   0.49997704
 47.60000000  -0.95127048   0.30828306   0.49997699
 47.80000000  -0.58839513   0.80855569   0.49998557
 48.00000000  -0.00077511   0.99999057   0.49999087
 48.20000000   0.58714093   0.80946684   0.49998551
 48.40000000   0.95079128   0.30975739   0.49997685
 48.60000000   0.95127528  -0.30826764   0.49997680
 48.80000000   0.58840808  -0.80854603   0.49998538
 49.00000000   0.00079126  -0.99999036   0.49999068
 49.20000000  -0.58712774  -0.80947616   0.49998532
 49.40000000  -0.95078610  -0.30977268   0.49997666
 49.60000000  -0.95128008   0.30825222   0.49997661
 49.80000000  -0.58842102   0.80853638   0.49998519
 50.00000000  -0.00080741   0.99999016   0.49999049
 50.20000000   0.58711456   0.80948549   0.49998513
 50.40000000   0.95078092   0.30978798   0.49997647
 50.60000000   0.95128487  -0.30823680   0.49997642
 50.80000000   0.58843397  -0.80852672   0.49998500
 51.00000000   0.00082356  -0.99998996   0.49999030
 51.20000000  -0.58710138  -0.80949482   0.49998494
 51.40000000  -0.95077573  -0.30980327   0.49997628
 51.60000000  -0.95128967   0.30822138   0.49997623
 51.80000000  -0.58844691   0.80851706   0.49998480
 52.00000000  -0.00083970   0.99998975   0.49999011
 52.20000000   0.58708819   0.80950414   0.49998475
 52.40000000   0.95077055   0.30981857   0.49997609
 52.60000000   0.95129447  -0.30820596   0.49997604
 52.80000000   0.58845986  -0.80850741   0.49998461
 53.00000000   0.00085585  -0.99998955   0.49998992
 53.20000000  -0.58707501  -0.80951347   0.49998456
 53.40000000  -0.95076537  -0.30983386   0.49997590
 53.60000000  -0.95129926   0.30819054   0.49997585
 53.80000000  -0.58847280   0.80849775   0.49998442
 54.00000000  -0.00087200   0.99998935   0.49998973
 54.20000000   0.58706183   0.80952280   0.49998437
 54.40000000   0.95076018   0.30984915   0.49997571
 54.60000000   0.95130406  -0.30817511   0.49997566
 54.80000000   0.58848574  -0.80848809   0.49998423
 55.00000000   0.00088815  -0.99998914   0.49998954
 55.20000000  -0.58704864  -0.80953212   0.49998418
 55.40000000  -0.95075500  -0.30986445   0.49997552
 55.60000000  -0.95130885   0.30815969   0.49997547
 55.80000000  -0.58849869   0.80847844   0.49998404
 56.00000000  -0.00090430   0.99998894   0.49998935
 56.20000000   0.58703546   0.80954145   0.49998399
 56.40000000   0.95074981   0.30987974   0.49997533
 56.60000000   0.95131365  -0.30814427   0.49997528
 56.80000000   0.58851163  -0.80846878   0.49998385
 57.00000000   0.00092044  -0.99998873   0.49998916
 57.20000000  -0.58702227  -0.80955078   0.49998380
 57.40000000  -0.95074463  -0.30989504   0.49997514
 57.60000000  -0.95131844   0.30812885   0.49997508
 57.80000000  -0.58852457   0.80845912   0.49998366
 58.00000000  -0.00093659   0.99998853   0.49998897
 58.20000000   0.58700909   0.80956010   0.49998361
 58.40000000   0.95073944   0.30991033   0.49997495
 58.60000000   0.95132324  -0.30811343   0.49997489
 58.80000000   0.58853752  -0.80844946   0.49998347
 59.00000000   0.00095274  -0.99998832   0.49998878
 59.20000000  -0.58699590  -0.80956943   0.49998342
 59.40000000  -0.95073426  -0.30992563   0.49997476
 59.60000000  -0.95132803   0.30809801   0.49997470
 59.80000000  -0.58855046   0.80843980   0.49998328
 60.00000000  -0.00096889   0.99998812   0.49998858
 60.20000000   0.58698272   0.80957875   0.49998323
 60.40000000   0.95072907   0.30994092   0.49997457
 60.60000000   0.95133283  -0.30808259   0.49997451
 60.80000000   0.58856340  -0.80843015   0.49998309
 61.00000000   0.00098504  -0.99998791   0.49998839
 61.20000000  -0.58696953  -0.80958808   0.49998304
 61.40000000  -0.95072388  -0.30995622   0.49997438
 61.60000000  -0.95133762   0.30806717   0.49997432
 61.80000000  -0.58857635   0.80842049   0.49998290
 62.00000000  -0.00100118   0.99998770   0.49998820
 62.20000000   0.58695635   0.80959740   0.49998285
 62.40000000   0.95071870   0.30997151   0.49997419
 62.60000000   0.95134241  -0.30805174   0.49997413
 62.80000000   0.58858929  -0.80841083   0.49998271
 63.00000000   0.00101733  -0.99998750   0.49998801
 63.20000000  -0.58694316  -0.80960673   0.49998266
 63.40000000  -0.95071351  -0.30998680   0.49997400
 63.60000000  -0.95134721   0.30803632   0.49997394
 63.80000000  -0.58860223   0.80840117   0.49998252
 64.00000000  -0.00103348   0.99998729   0.49998782
 64.20000000   0.58692998   0.80961605   0.49998247
 64.40000000   0.95070832   0.31000210   0.49997381
 64.60000000   0.95135200  -0.30802090   0.49997375
 64.80000000   0.58861517  -0.80839151   0.49998233
 65.00000000   0.00104963  -0.99998708   0.49998763
 65.20000000  -0.58691679  -0.80962537   0.49998228
 65.40000000  -0.95070314  -0.31001739   0.49997362
 65.60000000  -0.95135679   0.30800548   0.49997356
 65.80000000  -0.58862812   0.80838185   0.49998214
 66.00000000  -0.00106578   0.99998688   0.49998744
 66.20000000   0.58690361   0.80963470   0.49998209
 66.40000000   0.95069795   0.31003269   0.49997343
 66.60000000   0.95136159  -0.30799006   0.49997337
 66.80000000   0.58864106  -0.80837219   0.49998195
 67.00000000   0.00108192  -0.99998667   0.49998725
 67.20000000  -0.58689042  -0.80964402   0.49998190
 67.40000000  -0.95069276  -0.31004798   0.49997324
 67.60000000  -0.95136638   0.30797463   0.49997318
 67.80000000  -0.58865400   0.80836253   0.49998176
 68.00000000  -0.00109807   0.99998646   0.49998706
 68.20000000   0.58687723   0.80965335   0.49998171
 68.40000000   0.95068757   0.31006327   0.49997305
 68.60000000   0.95137117  -0.30795921   0.49997299
 68.80000000   0.58866694  -0.80835287   0.49998157
 69.00000000   0.00111422  -0.99998625   0.49998687
 69.20000000  -0.58686405  -0.80966267   0.49998152
 69.40000000  -0.95068239  -0.31007857   0.49997286
 69.60000000  -0.95137596   0.30794379   0.49997280
 69.80000000  -0.58867988   0.80834321   0.49998138
 70.00000000  -0.00113037   0.99998604   0.49998668
 70.20000000   0.58685086   0.80967199   0.49998133
 70.40000000   0.95067720   0.31009386   0.49997267
 70.60000000   0.95138075  -0.30792837   0.49997261
 70.80000000   0.58869282  -0.80833355   0.49998119
 71.00000000   0.00114652  -0.99998583   0.49998649
 71.20000000  -0.58683767  -0.80968131   0.49998114
 71.40000000  -0.95067201  -0.31010915   0.49997248
 71.60000000  -0.95138555   0.30791295   0.49997242
 71.80000000  -0.58870577   0.80832389   0.49998100
 72.00000000  -0.00116266   0.99998563   0.49998630
 72.20000000   0.58682449   0.80969064   0.49998095
 72.40000000   0.95066682   0.31012445   0.49997229
 72.60000000   0.95139034  -0.30789752   0.49997223
 72.80000000   0.58871871  -0.80831423   0.49998080
 73.00000000   0.00117881  -0.99998542   0.49998611
 73.20000000  -0.58681130  -0.80969996   0.49998076
 73.40000000  -0.95066163  -0.31013974   0.49997210
 73.60000000  -0.95139513   0.30788210   0.49997204
 73.80000000  -0.58873165   0.80830457   0.49998061
 74.00000000  -0.00119496   0.99998521   0.49998592
 74.20000000   0.58679811   0.80970928   0.49998057
 74.40000000   0.95065644   0.31015503   0.49997191
 74.60000000   0.95139992  -0.30786668   0.49997185
 74.80000000   0.58874459  -0.80829491   0.49998042
 75.00000000   0.00121111  -0.99998500   0.49998573
 75.20000000  -0.58678493  -0.80971860   0.49998038
 75.40000000  -0.95065125  -0.31017032   0.49997172
 75.60000000  -0.95140471   0.30785126   0.49997166
 75.80000000  -0.58875753   0.80828525   0.49998023
 76.00000000  -0.00122726   0.99998479   0.49998554
 76.20000000   0.58677174   0.80972793   0.49998019
 76.40000000   0.95064606   0.31018562   0.49997153
 76.60000000   0.95140950  -0.30783583   0.49997147
 76.80000000   0.58877047  -0.80827558   0.49998004
 77.00000000   0.00124340  -0.99998458   0.49998535
 77.20000000  -0.58675855  -0.80973725   0.49998000
 77.40000000  -0.95064087  -0.31020091   0.49997134
 77.60000000  -0.95141429   0.30782041   0.49997128
 77.80000000  -0.58878341   0.80826592   0.49997985
 78.00000000  -0.00125955   0.99998437   0.49998516
 78.20000000   0.58674536   0.80974657   0.49997981
 78.40000000   0.95063568   0.31021620   0.49997115
 78.60000000   0.95141908  -0.30780499   0.49997109
 78.80000000   0.58879635  -0.80825626   0.49997966
 79.00000000   0.00127570  -0.99998416   0.49998497
 79.20000000  -0.58673218  -0.80975589   0.49997962
 79.40000000  -0.95063049  -0.31023150   0.49997096
 79.60000000  -0.95142387   0.30778956   0.49997090
 79.80000000  -0.58880929   0.80824660   0.49997947
 80.00000000  -0.00129185   0.99998395   0.49998478
 80.20000000   0.58671899   0.80976521   0.49997943
 80.40000000   0.95062530   0.31024679   0.49997077
 80.60000000   0.95142866  -0.30777414   0.49997071
 80.80000000   0.58882223  -0.80823694   0.49997928
 81.00000000   0.00130799  -0.99998373   0.49998459
 81.20000000  -0.58670580  -0.80977453   0.49997924
 81.40000000  -0.95062011  -0.31026208   0.49997058
 81.60000000  -0.95143345   0.30775872   0.49997052
 81.80000000  -0.58883517   0.80822727   0.49997909
 82.00000000  -0.00132414   0.99998352   0.49998440
 82.20000000   0.58669261   0.80978385   0.49997905
 82.40000000   0.95061492   0.31027737   0.49997039
 82.60000000   0.95143823  -0.30774330   0.49997033
 82.80000000   0.58884811  -0.80821761   0.49997890
 83.00000000   0.00134029  -0.99998331   0.49998421
 83.20000000  -0.58667942  -0.80979317   0.49997886
 83.40000000  -0.95060973  -0.31029267   0.49997020
 83.60000000  -0.95144302   0.30772787   0.49997013
 83.80000000  -0.58886105   0.80820795   0.49997871
 84.00000000  -0.00135644   0.99998310   0.49998402
 84.20000000   0.58666623   0.80980249   0.49997867
 84.40000000   0.95060454   0.31030796   0.49997001
 84.60000000   0.95144781  -0.30771245   0.49996994
 84.80000000   0.58887399  -0.80819828   0.49997852
 85.00000000   0.00137259  -0.99998289   0.49998383
 85.20000000  -0.58665305  -0.80981181   0.49997848
 85.40000000  -0.95059935  -0.31032325   0.49996982
 85.60000000  -0.95145260   0.30769703   0.49996975
 85.80000000  -0.58888693   0.80818862   0.49997833
 86.00000000  -0.00138873   0.99998267   0.49998364
 86.20000000   0.58663986   0.80982113   0.49997829
 86.40000000   0.95059415   0.31033854   0.49996963
 86.60000000   0.95145739  -0.30768160   0.49996956
 86.80000000   0.58889986  -0.80817896   0.49997814
