# E(eV)    s        py       pz       px       dxy      dyz      dz2      dxz      dx2-y2      Total
1.398319 0.000612 0.000999 0.001219 0.001811 0.006993 0.007593 0.468000 0.012630 0.590100 1.089956
1.508319 0.001260 0.001568 0.001807 0.002155 0.005911 0.007473 0.669500 0.010810 0.792300 1.492784
1.618319 0.001000 0.001752 0.002198 0.001893 0.007802 0.007057 0.734800 0.009827 0.901100 1.667429
1.728319 0.000416 0.001311 0.001318 0.001374 0.005081 0.005021 0.501800 0.007262 0.595700 1.119283
1.837319 0.000137 0.000932 0.000757 0.000818 0.004047 0.003666 0.380200 0.005691 0.455600 0.851848
1.947319 0.000018 0.000256 0.000270 0.000188 0.002498 0.001342 0.220200 0.002416 0.118800 0.345988
2.057319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.166319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.276319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.386319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.495319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.605319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.715319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.825319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2.934319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.044319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.154319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.263319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
3.373319 0.000026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000027
3.483319 0.000447 0.000004 0.000003 0.000009 0.000000 0.000000 0.000001 0.000000 0.000002 0.000465
3.592319 0.001019 0.000009 0.000007 0.000023 0.000001 0.000000 0.000002 0.000001 0.000005 0.001067
3.702319 0.001744 0.000017 0.000013 0.000042 0.000001 0.000000 0.000005 0.000001 0.000011 0.001834
3.812319 0.002600 0.000026 0.000019 0.000068 0.000002 0.000001 0.000008 0.000002 0.000019 0.002745
3.922319 0.003504 0.000038 0.000026 0.000102 0.000003 0.000001 0.000014 0.000002 0.000032 0.003723
4.031319 0.004024 0.000068 0.000032 0.000145 0.000005 0.000001 0.000027 0.000003 0.000046 0.004350
4.141319 0.004194 0.000107 0.000038 0.000191 0.000009 0.000002 0.000044 0.000003 0.000061 0.004648
4.251319 0.004623 0.000131 0.000051 0.000233 0.000011 0.000003 0.000054 0.000005 0.000076 0.005186
4.360319 0.005089 0.000154 0.000066 0.000277 0.000013 0.000004 0.000063 0.000006 0.000093 0.005766
4.470319 0.005541 0.000180 0.000083 0.000331 0.000016 0.000004 0.000075 0.000008 0.000116 0.006354
4.580319 0.005965 0.000209 0.000102 0.000399 0.000018 0.000006 0.000091 0.000010 0.000149 0.006948
4.690319 0.006422 0.000243 0.000119 0.000463 0.000022 0.000007 0.000107 0.000012 0.000177 0.007571
4.799319 0.006902 0.000278 0.000138 0.000526 0.000025 0.000008 0.000124 0.000013 0.000205 0.008219
4.909319 0.007394 0.000314 0.000158 0.000592 0.000028 0.000009 0.000142 0.000015 0.000234 0.008887
5.019319 0.007895 0.000357 0.000179 0.000665 0.000031 0.000011 0.000162 0.000017 0.000266 0.009582
5.128319 0.008399 0.000428 0.000209 0.000763 0.000035 0.000013 0.000191 0.000020 0.000306 0.010364
5.238319 0.008911 0.000527 0.000249 0.000888 0.000041 0.000015 0.000230 0.000023 0.000360 0.011244
5.348319 0.009437 0.000645 0.000298 0.001008 0.000046 0.000018 0.000270 0.000026 0.000409 0.012157
5.457319 0.009979 0.000752 0.000359 0.001128 0.000050 0.000022 0.000303 0.000029 0.000461 0.013084
5.567319 0.010540 0.000851 0.000427 0.001256 0.000054 0.000027 0.000333 0.000033 0.000516 0.014036
5.677319 0.011110 0.000948 0.000503 0.001393 0.000058 0.000031 0.000361 0.000037 0.000575 0.015016
5.787319 0.011720 0.001066 0.000599 0.001557 0.000063 0.000037 0.000392 0.000042 0.000645 0.016120
5.896319 0.012350 0.001221 0.000725 0.001770 0.000067 0.000043 0.000435 0.000046 0.000740 0.017396
6.006319 0.012980 0.001362 0.000829 0.001952 0.000070 0.000050 0.000476 0.000050 0.000825 0.018595
6.116319 0.013550 0.001491 0.000917 0.002114 0.000073 0.000056 0.000518 0.000054 0.000908 0.019679
6.225319 0.014060 0.001606 0.000990 0.002260 0.000074 0.000061 0.000559 0.000057 0.000988 0.020655
6.335319 0.014510 0.001756 0.001053 0.002435 0.000074 0.000067 0.000613 0.000060 0.001068 0.021636
6.445319 0.015950 0.002153 0.001312 0.002743 0.000085 0.000085 0.000689 0.000076 0.001164 0.024257
6.555319 0.017190 0.002594 0.001645 0.003064 0.000096 0.000100 0.000774 0.000090 0.001273 0.026826
