#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
    9.599800    2.555828    2.555828    2.555828   -0.000000   -0.000000    0.000000
    9.643436    2.496769    2.496769    2.496769    0.000000   -0.000000    0.000000
    9.687071    2.426047    2.426047    2.426047    0.000000    0.000000   -0.000000
    9.730707    2.346937    2.346937    2.346937    0.000000    0.000000   -0.000000
    9.774342    2.263949    2.263949    2.263949    0.000000    0.000000   -0.000000
    9.817977    2.181893    2.181893    2.181893    0.000000    0.000000   -0.000000
    9.861613    2.105005    2.105005    2.105005    0.000000    0.000000   -0.000000
    9.905248    2.036366    2.036366    2.036366    0.000000    0.000000    0.000000
    9.948884    1.977692    1.977692    1.977692    0.000000    0.000000    0.000000
    9.992519    1.929433    1.929433    1.929433    0.000000    0.000000    0.000000
   10.036155    1.891029    1.891029    1.891029    0.000000   -0.000000    0.000000
   10.079790    1.861244    1.861244    1.861244    0.000000    0.000000    0.000000
   10.123426    1.838490    1.838490    1.838490    0.000000    0.000000    0.000000
   10.167061    1.821071    1.821071    1.821071    0.000000    0.000000    0.000000
   10.210697    1.807310    1.807310    1.807310    0.000000    0.000000    0.000000
   10.254332    1.795606    1.795606    1.795606    0.000000    0.000000    0.000000
   10.297967    1.784452    1.784452    1.784452    0.000000    0.000000   -0.000000
   10.341603    1.772522    1.772522    1.772522    0.000000   -0.000000   -0.000000
   10.385238    1.758893    1.758893    1.758893   -0.000000   -0.000000    0.000000
   10.428874    1.743310    1.743310    1.743310   -0.000000   -0.000000    0.000000
   10.472509    1.726359    1.726359    1.726359   -0.000000   -0.000000    0.000000
   10.516145    1.709429    1.709429    1.709429   -0.000000   -0.000000    0.000000
   10.559780    1.694391    1.694391    1.694391   -0.000000   -0.000000    0.000000
   10.603416    1.683086    1.683086    1.683086   -0.000000    0.000000    0.000000
   10.647051    1.676819    1.676819    1.676819   -0.000000    0.000000    0.000000
   10.690687    1.676007    1.676007    1.676007   -0.000000    0.000000    0.000000
   10.734322    1.680129    1.680129    1.680129   -0.000000    0.000000    0.000000
   10.777957    1.687926    1.687926    1.687926   -0.000000   -0.000000    0.000000
   10.821593    1.697768    1.697768    1.697768   -0.000000   -0.000000    0.000000
